identifier,type,date_start,date_end,title,abstract,ark,annotation_file,wms_id,iiif_base,diff_image_sheet,largerWorkCitation,resourceLineage
JacoubetFile,file,1827,1836,Dossier Atlas de Jacoubet,Research and resource file dedicated to the Atlas of the city of Paris from Jacoubet.,,,,,,,
AtlasJacoubet_1836,record,1827,1836,"Atlas général de la Ville, des faubourgs et des monuments de Paris : 1836","Atlas général de la Ville, des faubourgs et des monuments de Paris : 1836 / par Th. Jacoubet, architecte... ; gravé par Bonnet ; dédié et présenté à M. le Comte de Chabrol de Volvic, Conseiller d'Etat, Préfet du Département de la Seine ; écrit par Hacq. graveur du Dépot de la Guerre. Numérotation des 54 feuilles en continu selon un carroyage sur le plan d'assemblage de haut à gauche (nord ouest) en bas à droite (sud est).",ark:/73873/pf0000858369,https://github.com/soduco/allmaps_annotations/tree/main/output/bhvp_jacoubet/annotation_bhvp_jacoubet.json,bhvp_jacoubet,,,JacoubetFile,
