sheet,points,geotiff,annotation_file,iiif_manifest,overview,native
55,https://dataverse.harvard.edu/api/access/datafile/7002709,https://dataverse.harvard.edu/api/access/datafile/7002724,https://dataverse.harvard.edu/api/access/datafile/7002566,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~305682~90076056,https://media.davidrumsey.com/MediaManager/srvr?mediafile=/Size4/RUMSEY~8~1/179/10110056.jpg,https://www.davidrumsey.com/rumsey/download.pl?image=/179/10110056.jp2
56,https://dataverse.harvard.edu/api/access/datafile/7002889,https://dataverse.harvard.edu/api/access/datafile/7002739,https://dataverse.harvard.edu/api/access/datafile/7002472,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~305683~90076055,https://media.davidrumsey.com/MediaManager/srvr?mediafile=/Size4/RUMSEY~8~1/179/10110057.jpg,https://www.davidrumsey.com/rumsey/download.pl?image=/179/10110057.jp2
57,https://dataverse.harvard.edu/api/access/datafile/7002683,https://dataverse.harvard.edu/api/access/datafile/7002798,https://dataverse.harvard.edu/api/access/datafile/7002541,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~305684~90076054,https://media.davidrumsey.com/MediaManager/srvr?mediafile=/Size4/RUMSEY~8~1/179/10110058.jpg,https://www.davidrumsey.com/rumsey/download.pl?image=/179/10110058.jp2
58,https://dataverse.harvard.edu/api/access/datafile/7002706,https://dataverse.harvard.edu/api/access/datafile/7002585,https://dataverse.harvard.edu/api/access/datafile/7002650,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~305685~90076053,https://media.davidrumsey.com/MediaManager/srvr?mediafile=/Size4/RUMSEY~8~1/179/10110059.jpg,https://www.davidrumsey.com/rumsey/download.pl?image=/179/10110059.jp2
59,https://dataverse.harvard.edu/api/access/datafile/7002637,https://dataverse.harvard.edu/api/access/datafile/7002555,https://dataverse.harvard.edu/api/access/datafile/7002751,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~305686~90076052,https://media.davidrumsey.com/MediaManager/srvr?mediafile=/Size4/RUMSEY~8~1/179/10110060.jpg,https://www.davidrumsey.com/rumsey/download.pl?image=/179/10110060.jp2
60,https://dataverse.harvard.edu/api/access/datafile/7002625,https://dataverse.harvard.edu/api/access/datafile/7002717,https://dataverse.harvard.edu/api/access/datafile/7002855,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~305687~90076051,https://media.davidrumsey.com/MediaManager/srvr?mediafile=/Size4/RUMSEY~8~1/179/10110061.jpg,https://www.davidrumsey.com/rumsey/download.pl?image=/179/10110061.jp2
61,https://dataverse.harvard.edu/api/access/datafile/7002537,https://dataverse.harvard.edu/api/access/datafile/7002856,https://dataverse.harvard.edu/api/access/datafile/7002843,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~305688~90076050,https://media.davidrumsey.com/MediaManager/srvr?mediafile=/Size4/RUMSEY~8~1/179/10110062.jpg,https://www.davidrumsey.com/rumsey/download.pl?image=/179/10110062.jp2
62,https://dataverse.harvard.edu/api/access/datafile/7002483,https://dataverse.harvard.edu/api/access/datafile/7002582,https://dataverse.harvard.edu/api/access/datafile/7002607,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~305689~90076049,https://media.davidrumsey.com/MediaManager/srvr?mediafile=/Size4/RUMSEY~8~1/179/10110063.jpg,https://www.davidrumsey.com/rumsey/download.pl?image=/179/10110063.jp2
63,https://dataverse.harvard.edu/api/access/datafile/7002831,https://dataverse.harvard.edu/api/access/datafile/7002680,https://dataverse.harvard.edu/api/access/datafile/7002597,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~305690~90076048,https://media.davidrumsey.com/MediaManager/srvr?mediafile=/Size4/RUMSEY~8~1/179/10110064.jpg,https://www.davidrumsey.com/rumsey/download.pl?image=/179/10110064.jp2
64,https://dataverse.harvard.edu/api/access/datafile/7002842,https://dataverse.harvard.edu/api/access/datafile/7002733,https://dataverse.harvard.edu/api/access/datafile/7002465,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~305691~90076047,https://media.davidrumsey.com/MediaManager/srvr?mediafile=/Size4/RUMSEY~8~1/179/10110065.jpg,https://www.davidrumsey.com/rumsey/download.pl?image=/179/10110065.jp2
65,https://dataverse.harvard.edu/api/access/datafile/7002716,https://dataverse.harvard.edu/api/access/datafile/7002656,https://dataverse.harvard.edu/api/access/datafile/7002668,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~305692~90076046,https://media.davidrumsey.com/MediaManager/srvr?mediafile=/Size4/RUMSEY~8~1/179/10110066.jpg,https://www.davidrumsey.com/rumsey/download.pl?image=/179/10110066.jp2
66,https://dataverse.harvard.edu/api/access/datafile/7002704,https://dataverse.harvard.edu/api/access/datafile/7002638,https://dataverse.harvard.edu/api/access/datafile/7002496,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~305693~90076045,https://media.davidrumsey.com/MediaManager/srvr?mediafile=/Size4/RUMSEY~8~1/179/10110067.jpg,https://www.davidrumsey.com/rumsey/download.pl?image=/179/10110067.jp2
67,https://dataverse.harvard.edu/api/access/datafile/7002807,https://dataverse.harvard.edu/api/access/datafile/7002714,https://dataverse.harvard.edu/api/access/datafile/7002623,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~305694~90076044,https://media.davidrumsey.com/MediaManager/srvr?mediafile=/Size4/RUMSEY~8~1/179/10110068.jpg,https://www.davidrumsey.com/rumsey/download.pl?image=/179/10110068.jp2
68,https://dataverse.harvard.edu/api/access/datafile/7002872,https://dataverse.harvard.edu/api/access/datafile/7002529,https://dataverse.harvard.edu/api/access/datafile/7002671,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~305695~90076043,https://media.davidrumsey.com/MediaManager/srvr?mediafile=/Size4/RUMSEY~8~1/179/10110069.jpg,https://www.davidrumsey.com/rumsey/download.pl?image=/179/10110069.jp2
69,https://dataverse.harvard.edu/api/access/datafile/7002588,https://dataverse.harvard.edu/api/access/datafile/7002662,https://dataverse.harvard.edu/api/access/datafile/7002521,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~305696~90076042,https://media.davidrumsey.com/MediaManager/srvr?mediafile=/Size4/RUMSEY~8~1/179/10110070.jpg,https://www.davidrumsey.com/rumsey/download.pl?image=/179/10110070.jp2
70,https://dataverse.harvard.edu/api/access/datafile/7002605,https://dataverse.harvard.edu/api/access/datafile/7002781,https://dataverse.harvard.edu/api/access/datafile/7002681,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~305697~90076041,https://media.davidrumsey.com/MediaManager/srvr?mediafile=/Size4/RUMSEY~8~1/179/10110071.jpg,https://www.davidrumsey.com/rumsey/download.pl?image=/179/10110071.jp2
71,https://dataverse.harvard.edu/api/access/datafile/7002590,https://dataverse.harvard.edu/api/access/datafile/7002475,https://dataverse.harvard.edu/api/access/datafile/7002487,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~305698~90076040,https://media.davidrumsey.com/MediaManager/srvr?mediafile=/Size4/RUMSEY~8~1/179/10110072.jpg,https://www.davidrumsey.com/rumsey/download.pl?image=/179/10110072.jp2
72,https://dataverse.harvard.edu/api/access/datafile/7002812,https://dataverse.harvard.edu/api/access/datafile/7002857,https://dataverse.harvard.edu/api/access/datafile/7002675,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~305699~90076039,https://media.davidrumsey.com/MediaManager/srvr?mediafile=/Size4/RUMSEY~8~1/179/10110073.jpg,https://www.davidrumsey.com/rumsey/download.pl?image=/179/10110073.jp2
