yaml_identifier,geonetwork_uuid,xml_file_path,postponed_values
RUMSEY~8~1~305669~90076069,795ed406-3ac2-487a-b53d-c188989a80ea,/tmp/tmpx6iriir0/RUMSEY~8~1~305669~90076069.xml,"{""uuid"": ""795ed406-3ac2-487a-b53d-c188989a80ea""}"
RUMSEY~8~1~305670~90076068,55c04035-921f-41b6-835c-bb4df1cbb9f8,/tmp/tmpx6iriir0/RUMSEY~8~1~305670~90076068.xml,"{""uuid"": ""55c04035-921f-41b6-835c-bb4df1cbb9f8""}"
RUMSEY~8~1~305671~90076067,f28919bc-f214-4dd8-9551-6afd95729507,/tmp/tmpx6iriir0/RUMSEY~8~1~305671~90076067.xml,"{""uuid"": ""f28919bc-f214-4dd8-9551-6afd95729507""}"
RUMSEY~8~1~305672~90076066,c49d52b6-860e-489b-bce8-a2871b6e460f,/tmp/tmpx6iriir0/RUMSEY~8~1~305672~90076066.xml,"{""uuid"": ""c49d52b6-860e-489b-bce8-a2871b6e460f""}"
RUMSEY~8~1~305673~90076065,13f25c5a-fbe9-47da-91a4-ba67041965e1,/tmp/tmpx6iriir0/RUMSEY~8~1~305673~90076065.xml,"{""uuid"": ""13f25c5a-fbe9-47da-91a4-ba67041965e1""}"
RUMSEY~8~1~305674~90076064,6b481fd8-a293-459e-8d4f-dcf2d2e5b571,/tmp/tmpx6iriir0/RUMSEY~8~1~305674~90076064.xml,"{""uuid"": ""6b481fd8-a293-459e-8d4f-dcf2d2e5b571""}"
RUMSEY~8~1~305675~90076063,40b11951-57f5-4c88-9fea-8d00d66887d5,/tmp/tmpx6iriir0/RUMSEY~8~1~305675~90076063.xml,"{""uuid"": ""40b11951-57f5-4c88-9fea-8d00d66887d5""}"
RUMSEY~8~1~305676~90076062,68ae8d07-5d24-40f3-9e77-e7476dd9a94f,/tmp/tmpx6iriir0/RUMSEY~8~1~305676~90076062.xml,"{""uuid"": ""68ae8d07-5d24-40f3-9e77-e7476dd9a94f""}"
RUMSEY~8~1~305677~90076061,eb3f0b90-5054-4ccb-9939-bdaab6acd895,/tmp/tmpx6iriir0/RUMSEY~8~1~305677~90076061.xml,"{""uuid"": ""eb3f0b90-5054-4ccb-9939-bdaab6acd895""}"
RUMSEY~8~1~305678~90076060,6b93215c-4e60-443a-aa34-f693a0c5fce3,/tmp/tmpx6iriir0/RUMSEY~8~1~305678~90076060.xml,"{""uuid"": ""6b93215c-4e60-443a-aa34-f693a0c5fce3""}"
RUMSEY~8~1~305679~90076059,5aa2bfbc-1a87-42ee-9909-aa00bc374f59,/tmp/tmpx6iriir0/RUMSEY~8~1~305679~90076059.xml,"{""uuid"": ""5aa2bfbc-1a87-42ee-9909-aa00bc374f59""}"
RUMSEY~8~1~305680~90076058,e7e0cf25-19af-41a1-9099-b8e2b565489f,/tmp/tmpx6iriir0/RUMSEY~8~1~305680~90076058.xml,"{""uuid"": ""e7e0cf25-19af-41a1-9099-b8e2b565489f""}"
RUMSEY~8~1~305681~90076057,24ecb40a-4fa4-4a94-ab97-acf764dfb4f4,/tmp/tmpx6iriir0/RUMSEY~8~1~305681~90076057.xml,"{""uuid"": ""24ecb40a-4fa4-4a94-ab97-acf764dfb4f4""}"
RUMSEY~8~1~305682~90076056,03a6133f-7da8-4e33-9fa9-981f3fb3bb00,/tmp/tmpx6iriir0/RUMSEY~8~1~305682~90076056.xml,"{""uuid"": ""03a6133f-7da8-4e33-9fa9-981f3fb3bb00""}"
RUMSEY~8~1~305683~90076055,e4a2c06f-0392-40f8-9a33-b9bab46be64f,/tmp/tmpx6iriir0/RUMSEY~8~1~305683~90076055.xml,"{""uuid"": ""e4a2c06f-0392-40f8-9a33-b9bab46be64f""}"
RUMSEY~8~1~305684~90076054,812e9cff-07bb-4c65-b84f-1cff10e193b2,/tmp/tmpx6iriir0/RUMSEY~8~1~305684~90076054.xml,"{""uuid"": ""812e9cff-07bb-4c65-b84f-1cff10e193b2""}"
RUMSEY~8~1~305685~90076053,605937f5-67d1-43c9-9df0-1f77d34e8f4b,/tmp/tmpx6iriir0/RUMSEY~8~1~305685~90076053.xml,"{""uuid"": ""605937f5-67d1-43c9-9df0-1f77d34e8f4b""}"
RUMSEY~8~1~305686~90076052,49d340f9-df04-4d0b-9a25-80ef16b09f83,/tmp/tmpx6iriir0/RUMSEY~8~1~305686~90076052.xml,"{""uuid"": ""49d340f9-df04-4d0b-9a25-80ef16b09f83""}"
RUMSEY~8~1~305687~90076051,6b4229e0-8d7d-42be-8632-7a1040a04588,/tmp/tmpx6iriir0/RUMSEY~8~1~305687~90076051.xml,"{""uuid"": ""6b4229e0-8d7d-42be-8632-7a1040a04588""}"
