yaml_identifier,geonetwork_uuid,xml_file_path,postponed_values
Cambon2_1868,ff88fcec-ec24-49b4-8c22-caefa26f1d3f,/tmp/tmpyr6_ad0f/Cambon2_1868.xml,"{""uuid"": ""ff88fcec-ec24-49b4-8c22-caefa26f1d3f"", ""associatedResource"": [{""value"": ""3e6a0117-cff2-4dcc-9940-49c1b98c3cbd"", ""typeOfAssociation"": ""largerWorkCitation""}]}"
Cambon2_1868_ex1,09989e38-58c6-48af-a992-a15f376a5788,/tmp/tmpyr6_ad0f/Cambon2_1868_ex1.xml,"{""uuid"": ""09989e38-58c6-48af-a992-a15f376a5788"", ""resourceLineage"": [""ff88fcec-ec24-49b4-8c22-caefa26f1d3f""]}"
Cambon2_1869,26191e84-468e-495b-a716-52a1daf5d09e,/tmp/tmpyr6_ad0f/Cambon2_1869.xml,"{""uuid"": ""26191e84-468e-495b-a716-52a1daf5d09e"", ""associatedResource"": [{""value"": ""3e6a0117-cff2-4dcc-9940-49c1b98c3cbd"", ""typeOfAssociation"": ""largerWorkCitation""}]}"
Cambon2_1869_ex1,c00e7ff8-f25c-4b86-b8ec-c640c4eb7a2f,/tmp/tmpyr6_ad0f/Cambon2_1869_ex1.xml,"{""uuid"": ""c00e7ff8-f25c-4b86-b8ec-c640c4eb7a2f"", ""resourceLineage"": [""26191e84-468e-495b-a716-52a1daf5d09e""]}"
Cambon2_1870,44e8efa8-58bc-4c97-856f-a644a0d67f8b,/tmp/tmpyr6_ad0f/Cambon2_1870.xml,"{""uuid"": ""44e8efa8-58bc-4c97-856f-a644a0d67f8b"", ""associatedResource"": [{""value"": ""3e6a0117-cff2-4dcc-9940-49c1b98c3cbd"", ""typeOfAssociation"": ""largerWorkCitation""}]}"
Cambon2_1870_ex1,34371ab6-f848-44be-a106-d404d77e3028,/tmp/tmpyr6_ad0f/Cambon2_1870_ex1.xml,"{""uuid"": ""34371ab6-f848-44be-a106-d404d77e3028"", ""resourceLineage"": [""44e8efa8-58bc-4c97-856f-a644a0d67f8b""]}"
Cambon2_1872,685c9b04-19ca-420d-b777-a0fd67287d1e,/tmp/tmpyr6_ad0f/Cambon2_1872.xml,"{""uuid"": ""685c9b04-19ca-420d-b777-a0fd67287d1e"", ""associatedResource"": [{""value"": ""3e6a0117-cff2-4dcc-9940-49c1b98c3cbd"", ""typeOfAssociation"": ""largerWorkCitation""}]}"
Cambon2_1872_ex1,9d1806f4-a81b-4f5b-9591-4c9158149988,/tmp/tmpyr6_ad0f/Cambon2_1872_ex1.xml,"{""uuid"": ""9d1806f4-a81b-4f5b-9591-4c9158149988"", ""resourceLineage"": [""685c9b04-19ca-420d-b777-a0fd67287d1e""]}"
Cambon2_1873,7c72f83a-950d-4c08-859a-e4a23ead05dd,/tmp/tmpyr6_ad0f/Cambon2_1873.xml,"{""uuid"": ""7c72f83a-950d-4c08-859a-e4a23ead05dd"", ""associatedResource"": [{""value"": ""3e6a0117-cff2-4dcc-9940-49c1b98c3cbd"", ""typeOfAssociation"": ""largerWorkCitation""}]}"
Cambon2_1873_ex1,645917cd-d64a-43d0-bd88-6e383c7eff9e,/tmp/tmpyr6_ad0f/Cambon2_1873_ex1.xml,"{""uuid"": ""645917cd-d64a-43d0-bd88-6e383c7eff9e"", ""resourceLineage"": [""7c72f83a-950d-4c08-859a-e4a23ead05dd""]}"
Cambon2_1874,b94d01c2-11ad-4e9f-92a1-807b32249c31,/tmp/tmpyr6_ad0f/Cambon2_1874.xml,"{""uuid"": ""b94d01c2-11ad-4e9f-92a1-807b32249c31"", ""associatedResource"": [{""value"": ""3e6a0117-cff2-4dcc-9940-49c1b98c3cbd"", ""typeOfAssociation"": ""largerWorkCitation""}]}"
Cambon2_1874_ex1,ca4bb339-9262-4262-8be4-b303248b547f,/tmp/tmpyr6_ad0f/Cambon2_1874_ex1.xml,"{""uuid"": ""ca4bb339-9262-4262-8be4-b303248b547f"", ""resourceLineage"": [""b94d01c2-11ad-4e9f-92a1-807b32249c31""]}"
